#{"t_start": 1581351546.546443, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,9.157683
,-50.0,50,11.056586
,-50.0,50,12.758232
,-50.0,50,14.520655
,-50.0,50,16.354787
,-50.0,50,18.484162
,-50.0,50,20.403811
,-50.0,50,22.770112
,0.0,50,25.452099
,-50.0,50,28.050758
,-50.0,50,30.527557
,-50.0,50,32.549384
,-50.0,50,34.495427
,-50.0,50,36.48597
,-50.0,50,38.515969
,-50.0,50,40.522218
,-50.0,50,42.568696
,-50.0,50,44.598925
,-50.0,50,46.596113
,-50.0,50,48.593922
,-50.0,50,50.591086
,-50.0,50,52.608365
,-50.0,50,54.637136
,-50.0,50,56.658695
,-50.0,50,58.680529
,-50.0,50,60.639043
,-50.0,50,62.683034
,-50.0,50,64.67487
,-50.0,50,66.691708
,-50.0,50,68.677788
,-50.0,50,70.715906
,-50.0,50,72.711581
,-50.0,50,74.71679
,-50.0,50,76.704916
,-50.0,50,78.677016
,-50.0,50,80.714979
,-50.0,50,82.701633
,-50.0,50,84.676553
,-50.0,50,86.728033
,-50.0,50,88.700033
,0.0,50,90.704177
,-50.0,50,92.725707
,-18.0,50,94.774441
,-50.0,50,96.774882
,-50.0,50,98.749913
,-50.0,50,100.740025
,-50.0,50,102.734585
,-50.0,50,104.772292
,-50.0,50,106.764618
,-50.0,50,108.780406
,-50.0,50,110.914825
,-50.0,50,111.238967
,-50.0,50,111.579463
,-50.0,50,111.940566
,-50.0,50,112.300093
,-50.0,50,112.615682
,-50.0,50,112.954581
,-50.0,50,113.30102
,-50.0,50,113.690334
,-50.0,50,114.017857
,-50.0,50,114.417767
,-50.0,50,116.426251
,-50.0,50,118.463627
,-50.0,50,120.451612
,-50.0,50,122.450734
,-50.0,50,124.439495
,-50.0,50,126.41335
,-50.0,50,128.403667
,-50.0,50,130.382578
,-50.0,50,132.373251
,-50.0,50,134.428435
,-50.0,50,136.523969
,-50.0,50,138.614138
,-50.0,50,140.603217
,-50.0,50,142.678219
,-50.0,50,144.682952
,-50.0,50,146.674138
,-50.0,50,148.690053
,-50.0,50,150.752662
,-50.0,50,152.702262
,-50.0,50,154.69413
,-50.0,50,156.74461
,-50.0,50,158.786091
,-50.0,50,160.786409
,-50.0,50,162.815791
,-50.0,50,164.812614
,-50.0,50,166.819843
,-50.0,50,168.822807
,-50.0,50,170.856735
,-50.0,50,172.863331
,-50.0,50,174.865376
,-50.0,50,176.881393
,-50.0,50,178.901337
,-50.0,50,180.924646
,-50.0,50,182.942355
,-50.0,50,184.939952
,-50.0,50,186.93052
,-50.0,50,188.926096
,-50.0,50,190.932272
,-50.0,50,192.986801
,-50.0,50,195.047233
,-50.0,50,197.050238
,-50.0,50,199.064183
,-50.0,50,201.081373
,-50.0,50,203.065372
,-50.0,50,205.122863
,-50.0,50,207.115689
,-50.0,50,209.116898
,-50.0,50,211.103689
,-50.0,50,213.111407
,-50.0,50,215.153586
,-50.0,50,215.463603
,-50.0,50,215.791839
,-50.0,50,216.117568
,-50.0,50,216.440226
,-50.0,50,216.7675
,0.0,50,217.092782
,-50.0,50,217.413426
,-50.0,50,217.742491
,0.0,50,218.057292
,-50.0,50,218.537265
,-50.0,50,220.528262
,-50.0,50,222.490845
,-50.0,50,224.487372
,-50.0,50,226.521603
,-50.0,50,228.478558
,-50.0,50,230.53236
,-50.0,50,232.505406
,-50.0,50,234.506504
,-50.0,50,236.499038
,-50.0,50,238.491357
,-50.0,50,240.478132
,0.0,50,242.49549
,-50.0,50,244.499263
,-50.0,50,246.502892
,-50.0,50,248.492668
,-50.0,50,250.494479
,0.0,50,252.507012
,-50.0,50,254.445617
,-50.0,50,256.423614
,-50.0,50,258.441615
,-50.0,50,260.495688
,-50.0,50,262.505564
,0.0,50,264.486007
,-50.0,50,266.520529
,-50.0,50,268.547411
,-50.0,50,270.560584
,-50.0,50,272.58587
,-50.0,50,274.583963
,-50.0,50,276.575796
,-50.0,50,278.555953
,-41.0,50,280.584882
,-50.0,50,282.546376
,-50.0,50,284.581732
,-50.0,50,286.611763
,-50.0,50,288.604617
,0.0,50,290.678243
,-50.0,50,292.683885
,-50.0,50,294.761364
,-50.0,50,296.719327
,-50.0,50,298.723002
,-50.0,50,300.731537
,-50.0,50,302.791734
,-50.0,50,304.824082
,-50.0,50,306.853108
,-50.0,50,308.83034
,-50.0,50,310.836111
,-50.0,50,312.867338
,-50.0,50,314.87746
,-50.0,50,316.859647
,0.0,50,318.876895
,0.0,50,319.218554
,-50.0,50,319.532825
,-50.0,50,319.868092
,-50.0,50,320.176076
,-50.0,50,320.533155
,-50.0,50,320.847903
,-50.0,50,321.163228
,0.0,50,321.483263
,-50.0,50,321.792065
,-50.0,50,322.138392
,-50.0,50,324.171005
,-50.0,50,326.212543
,-50.0,50,328.248096
,-50.0,50,330.237703
,0.0,50,332.222176
,-50.0,50,334.236718
,-50.0,50,336.275057
,-50.0,50,338.276273
,-50.0,50,340.281029
,0.0,50,342.254377
,-50.0,50,344.212785
,-50.0,50,346.239811
,-50.0,50,348.280491
,0.0,50,350.295609
,-50.0,50,352.358134
,-50.0,50,354.353927
,-50.0,50,356.366417
,-50.0,50,358.377474
,-50.0,50,360.38782
,-50.0,50,362.466087
,-50.0,50,364.54106
,-50.0,50,366.553917
,-50.0,50,368.601345
,-50.0,50,370.615159
,-50.0,50,372.59885
,-50.0,50,374.596752
,-50.0,50,376.627692
,-50.0,50,378.715616
,-50.0,50,380.772263
,-50.0,50,382.814302
,-50.0,50,384.854508
,-50.0,50,386.845643
,-50.0,50,388.863862
,-50.0,50,390.845171
,0.0,50,392.844414
,-50.0,50,394.893354
,-50.0,50,396.875261
,-50.0,50,398.940388
,-50.0,50,401.01136
,-50.0,50,402.965843
,0.0,50,405.005201
,-50.0,50,406.96131
,-50.0,50,408.9311
,-50.0,50,410.93925
,0.0,50,412.949719
,-50.0,50,415.011384
,-50.0,50,417.018748
,-50.0,50,419.001907
,-50.0,50,421.009792
,-50.0,50,423.067182
,-50.0,50,423.431808
,-50.0,50,423.738708
,-50.0,50,424.076105
,-50.0,50,424.42665
,-50.0,50,424.745942
,0.0,50,425.070897
,-50.0,50,425.407427
,-50.0,50,425.733622
,-50.0,50,426.071095
