#{"t_start": 1581351545.2224815, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,10.397424
,-50.0,50,12.320542
,-50.0,50,14.061953
,-50.0,50,15.837319
,-50.0,50,17.698577
,-50.0,50,19.798241
,-50.0,50,21.714638
,-50.0,50,24.088655
,-50.0,50,26.751635
,-50.0,50,29.374767
,0.0,50,31.861028
,-50.0,50,33.858434
,-50.0,50,35.811169
,-50.0,50,37.828811
,-50.0,50,39.834458
,-50.0,50,41.871627
,-50.0,50,43.912342
,-50.0,50,45.921161
,-50.0,50,47.915249
,-50.0,50,49.916443
,-50.0,50,51.922539
,-50.0,50,53.928122
,-50.0,50,55.949495
,-50.0,50,57.978442
,-50.0,50,59.982238
,-50.0,50,61.976412
,0.0,50,63.98455
,-50.0,50,66.010337
,-50.0,50,68.05001
,-50.0,50,69.98798
,-50.0,50,72.034243
,-50.0,50,74.012555
,-50.0,50,76.058314
,-50.0,50,78.02098
,-50.0,50,80.013487
,-50.0,50,82.049989
,-50.0,50,84.025542
,-50.0,50,85.998244
,-50.0,50,88.034687
,-50.0,50,90.036025
,-50.0,50,92.018429
,0.0,50,94.052797
,-50.0,50,96.072289
,-50.0,50,98.063184
,-50.0,50,100.079165
,-50.0,50,102.058011
,-50.0,50,104.051615
,-50.0,50,106.091615
,-50.0,50,108.096999
,-50.0,50,110.082413
,-50.0,50,112.211214
,-50.0,50,112.532011
,-50.0,50,112.851943
,-50.0,50,113.222558
,-50.0,50,113.545835
,-50.0,50,113.891503
,-50.0,50,114.22508
,-50.0,50,114.581645
,-50.0,50,114.915813
,-50.0,50,115.236198
,-50.0,50,115.746567
,-50.0,50,117.742148
,-50.0,50,119.787769
,-50.0,50,121.747936
,-50.0,50,123.767974
,-50.0,50,125.773529
,-50.0,50,127.73169
,-50.0,50,129.748348
,-50.0,50,131.722549
,-50.0,50,133.693058
,-50.0,50,135.785554
,-50.0,50,137.838293
,-50.0,50,139.916077
,-50.0,50,141.959252
,-50.0,50,143.965278
,-50.0,50,145.992829
,-50.0,50,147.997574
,-50.0,50,150.019035
,-50.0,50,152.063957
,-50.0,50,154.045702
,-50.0,50,156.035506
,-50.0,50,158.052996
,-50.0,50,160.120596
,-50.0,50,162.111487
,-50.0,50,164.12833
,-50.0,50,166.149535
,-50.0,50,168.159317
,-50.0,50,170.154629
,-50.0,50,172.195228
,-50.0,50,174.175538
,-50.0,50,176.168379
,-50.0,50,178.169539
,-50.0,50,180.215645
,-50.0,50,182.261331
,-50.0,50,184.24575
,-50.0,50,186.250081
,-50.0,50,188.249298
,-50.0,50,190.255039
,-50.0,50,192.24865
,-50.0,50,194.28604
,-50.0,50,196.373712
,-50.0,50,198.358019
,-50.0,50,200.392413
,-50.0,50,202.42306
,-50.0,50,204.39125
,0.0,50,206.43202
,-50.0,50,208.431507
,0.0,50,210.436014
,-50.0,50,212.458171
,-50.0,50,214.436802
,-50.0,50,216.508096
,-50.0,50,216.827625
,-50.0,50,217.142127
,-50.0,50,217.479763
,-50.0,50,217.81389
,-50.0,50,218.163826
,-50.0,50,218.485998
,-50.0,50,218.80782
,0.0,50,219.172104
,-50.0,50,219.477598
,-50.0,50,219.876088
,-50.0,50,221.851413
,-50.0,50,223.83491
,-50.0,50,225.80641
,-50.0,50,227.836897
,-50.0,50,229.797898
,-50.0,50,231.867916
,-50.0,50,233.853025
,-50.0,50,235.810959
,-50.0,50,237.820597
,-50.0,50,239.809856
,-50.0,50,241.789641
,-50.0,50,243.806397
,-50.0,50,245.804653
,0.0,50,247.814576
,-50.0,50,249.794851
,-50.0,50,251.821138
,-50.0,50,253.832621
,-50.0,50,255.775676
,-50.0,50,257.746892
,-50.0,50,259.787816
,-50.0,50,261.819618
,-50.0,50,263.829502
,-50.0,50,265.813819
,-50.0,50,267.852382
,-50.0,50,269.852017
,-50.0,50,271.853537
,-50.0,50,273.904815
,-50.0,50,275.90981
,-50.0,50,277.912805
,-50.0,50,279.908892
,-50.0,50,281.890739
,-50.0,50,283.889718
,-50.0,50,285.881608
,-50.0,50,287.945633
,-50.0,50,289.923403
,-50.0,50,291.969792
,0.0,50,294.012825
,-50.0,50,296.084637
,-50.0,50,298.057469
,-50.0,50,300.053109
,-50.0,50,302.072739
,-3.0,50,304.127071
,0.0,50,306.146286
,-50.0,50,308.176433
,0.0,50,310.15791
,-50.0,50,312.151248
,-50.0,50,314.189962
,0.0,50,316.215836
,-50.0,50,318.201897
,0.0,50,320.197418
,-50.0,50,320.520603
,-50.0,50,320.846992
,-50.0,50,321.145746
,-50.0,50,321.469285
,-50.0,50,321.79872
,-50.0,50,322.101405
,-50.0,50,322.408428
,-50.0,50,322.750762
,-50.0,50,323.067113
,-50.0,50,323.438544
,0.0,50,325.482628
,-50.0,50,327.523981
,-50.0,50,329.55173
,-50.0,50,331.531369
,0.0,50,333.542698
,-50.0,50,335.553138
,-50.0,50,337.592015
,-50.0,50,339.608839
,-50.0,50,341.604891
,-50.0,50,343.574692
,-50.0,50,345.532835
,-50.0,50,347.554455
,-50.0,50,349.616595
,-50.0,50,351.595975
,-50.0,50,353.6859
,-50.0,50,355.692041
,-50.0,50,357.692771
,-50.0,50,359.709822
,0.0,50,361.724048
,-50.0,50,363.802491
,-50.0,50,365.844447
,-50.0,50,367.873115
,-50.0,50,369.910261
,-50.0,50,371.94329
,-50.0,50,373.938172
,-50.0,50,375.923075
,-50.0,50,377.966013
,-50.0,50,380.037918
,-50.0,50,382.0942
,-50.0,50,384.133346
,-50.0,50,386.194687
,0.0,50,388.171355
,-50.0,50,390.136696
,-50.0,50,392.156842
