#{"t_start": 1581661849.7551017, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,0.0,50,6.632554
,-50.0,50,8.418449
,-50.0,50,10.031126
,-50.0,50,11.619122
,-50.0,50,13.202671
,-50.0,50,14.776072
,-50.0,50,16.3941
,-50.0,50,17.939274
,-50.0,50,19.561972
,-50.0,50,21.157127
,-50.0,50,22.756428
,-50.0,50,24.347723
,-50.0,50,25.956342
,-50.0,50,27.534316
,-50.0,50,29.128892
,-50.0,50,30.753513
,-50.0,50,32.31764
,-50.0,50,33.89572
,-50.0,50,35.506526
,-50.0,50,37.08885
,-50.0,50,38.680972
,-50.0,50,40.279843
,-50.0,50,41.86656
,-50.0,50,43.456492
,-50.0,50,45.029925
,-50.0,50,46.624024
,-50.0,50,48.230459
,-50.0,50,49.787588
,-50.0,50,51.386974
,-50.0,50,52.988051
,-50.0,50,54.572102
,-50.0,50,56.157894
,-50.0,50,57.775913
,-50.0,50,59.35684
,-50.0,50,60.930909
,-50.0,50,62.528051
,-50.0,50,64.120331
,-50.0,50,65.716068
,-50.0,50,67.308237
,-50.0,50,68.876576
,-50.0,50,70.47934
,-50.0,50,72.107412
,-50.0,50,73.675978
,-50.0,50,75.298978
,0.0,50,76.876643
,-50.0,50,78.460146
,0.0,50,80.048089
,-50.0,50,81.615746
,-50.0,50,83.243204
,-50.0,50,84.809472
,-50.0,50,86.460462
,-50.0,50,86.701916
,-50.0,50,86.951062
,-50.0,50,87.212412
,0.0,50,87.465094
,-50.0,50,87.726769
,-50.0,50,87.981074
,-50.0,50,88.242948
,-50.0,50,88.516933
,-50.0,50,88.772449
,-50.0,50,89.171615
,-50.0,50,90.754838
,-50.0,50,92.340351
,-50.0,50,93.935591
,-50.0,50,95.509758
,-50.0,50,97.13151
,-50.0,50,98.712979
,-50.0,50,100.328386
,-50.0,50,101.892804
,-50.0,50,103.503148
,-50.0,50,105.078732
,-50.0,50,106.715795
,-50.0,50,108.313292
,-50.0,50,109.876377
,-50.0,50,111.486446
,-50.0,50,113.092112
,-50.0,50,114.653792
,-50.0,50,116.249785
,-50.0,50,117.83219
,-50.0,50,119.419335
,-50.0,50,121.051701
,-50.0,50,122.615487
,-50.0,50,124.201925
,-50.0,50,125.806375
,-50.0,50,127.406233
,-50.0,50,128.985208
,0.0,50,130.56149
,-50.0,50,132.189318
,-50.0,50,133.758047
,-50.0,50,135.381064
,-50.0,50,136.997228
,-50.0,50,138.589956
,-50.0,50,140.169235
,-50.0,50,141.749523
,-50.0,50,143.368766
,-50.0,50,144.980236
,-50.0,50,146.580914
,-50.0,50,148.154291
,-50.0,50,149.730243
,-50.0,50,151.330154
,-50.0,50,152.944113
,-50.0,50,154.523522
,-50.0,50,156.108577
,-50.0,50,157.708977
,-50.0,50,159.309384
,-50.0,50,160.889309
,-50.0,50,162.48227
,-50.0,50,164.066548
,-50.0,50,165.682736
,-50.0,50,167.256407
,-50.0,50,168.90853
,-50.0,50,169.179395
,-50.0,50,169.437872
,-50.0,50,169.699582
,-50.0,50,169.950305
,-50.0,50,170.208472
,-50.0,50,170.45951
,-50.0,50,170.709994
,-50.0,50,170.964764
,-50.0,50,171.231655
,-50.0,50,171.598522
,-50.0,50,173.184529
,-50.0,50,174.758592
,-50.0,50,176.378023
,-50.0,50,177.978024
,-50.0,50,179.572386
