stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
0.74409133,0.119789846,0.16459566,0.0637064,-49.6875,10.0,-3.1666055,0.0062500000931322575,-49.79875,50.0,0.0024999999441206455
0.7451596,0.12041607,0.16522889,0.063187204,-49.9875,20.0,-5.2413588,0.0,-49.853752,100.0,0.0037499999161809683
0.74522924,0.12432024,0.1653713,0.06421125,-50.0,30.0,-7.3562107,0.0,-49.82875,150.0,0.0037499999161809683
0.7455924,0.13144602,0.16555889,0.066249825,-49.65,40.0,-9.076473,0.0062500000931322575,-49.80375,200.0,0.0037499999161809683
0.7461183,0.13947004,0.16600038,0.07036275,-48.9375,50.0,-10.480987,0.018750000279396772,-49.49125,250.0,0.004999999888241291
0.74902844,0.14397655,0.1666892,0.07337584,-49.19375,60.0,-11.954593,0.0062500000931322575,-48.928753,300.0,0.014999999664723873
0.7523925,0.1502368,0.16743237,0.07797789,-48.81875,70.0,-13.057374,0.0062500000931322575,-48.94375,350.0,0.021249999292194843
0.7550504,0.15505376,0.16828011,0.0810455,-47.5,80.0,-13.599289,0.04375000111758709,-48.69375,400.0,0.017499999376013875
0.75857,0.15981272,0.16893296,0.08357497,-47.081253,90.0,-13.426763,0.05625000083819032,-48.286247,450.0,0.028749998193234205
0.7620275,0.16453491,0.16956238,0.086728804,-47.90625,100.0,-15.181932,0.037500000558793545,-47.705,500.0,0.041249998146668077
0.7661031,0.16671306,0.17032424,0.08832064,-45.45625,110.0,-14.124616,0.0437500006519258,-47.14,550.0,0.054999998304992914
0.7692681,0.16730188,0.17091447,0.08859536,-45.59375,120.0,-15.317375,0.06250000139698386,-46.6525,600.0,0.07625
0.7718603,0.16774021,0.17152834,0.08874279,-42.25,130.0,-13.079037,0.18124999571591616,-45.93125,650.0,0.097500004
0.77417594,0.16957729,0.17217937,0.09008687,-39.5875,140.0,-12.0903225,0.27500004,-45.94375,700.0,0.1075
0.77699107,0.17017871,0.17301793,0.09067883,-39.975,150.0,-13.2345295,0.26875000167638063,-45.302498,750.0,0.13749999832361937
0.7802078,0.17075126,0.17381348,0.09114089,-38.175,160.0,-11.630719,0.30000001285225153,-44.99625,800.0,0.13374999
0.78321815,0.17171328,0.1745684,0.091628715,-37.3625,170.0,-11.766178,0.3375,-44.4075,850.0,0.16000001
