#{"t_start": 1581691585.9213655, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,6.31174
,-50.0,50,8.12989
,-50.0,50,9.7949
,-50.0,50,11.41138
,-50.0,50,13.031041
,-50.0,50,14.635018
,-50.0,50,16.266058
,-50.0,50,17.912099
,-50.0,50,19.502466
,-50.0,50,21.155147
,-50.0,50,22.773247
,-50.0,50,24.385495
,-50.0,50,26.04261
,-50.0,50,27.655076
,-50.0,50,29.260388
,-50.0,50,30.917524
,-50.0,50,32.520553
,-50.0,50,34.108
,-50.0,50,35.762143
,-50.0,50,37.38959
,-50.0,50,38.998296
,-50.0,50,40.621856
,-50.0,50,42.225823
,-50.0,50,43.879816
,-50.0,50,45.513265
,-50.0,50,47.129096
,-50.0,50,48.709661
,-50.0,50,50.32877
,-50.0,50,51.976912
,-50.0,50,53.597829
,-50.0,50,55.196514
,-50.0,50,56.826308
,-50.0,50,58.435904
,-50.0,50,60.067489
,-50.0,50,61.662996
,-50.0,50,63.25658
,-50.0,50,64.886806
,-50.0,50,66.553119
,-50.0,50,68.143205
,-50.0,50,69.790977
,-50.0,50,71.379042
,-50.0,50,73.038095
,-50.0,50,74.61213
,-50.0,50,76.243581
,-50.0,50,77.835097
,-50.0,50,79.467965
,-50.0,50,81.060198
,-50.0,50,82.684654
,-50.0,50,84.318407
,-50.0,50,85.920771
,-50.0,50,87.599689
,-50.0,50,87.881332
,-50.0,50,88.159909
,-50.0,50,88.414486
,-50.0,50,88.697722
,-50.0,50,88.965138
,-50.0,50,89.265375
,-50.0,50,89.552775
,-50.0,50,89.834536
,-50.0,50,90.110391
,-50.0,50,90.574583
,-50.0,50,92.180512
,-50.0,50,93.799687
,-50.0,50,95.411533
,-50.0,50,97.066691
,-50.0,50,98.662483
,-50.0,50,100.313782
,-50.0,50,101.887787
,-50.0,50,103.511995
,-50.0,50,105.149799
,-50.0,50,106.753807
,-50.0,50,108.387536
,-50.0,50,109.972176
,-50.0,50,111.622276
,-50.0,50,113.23269
,-50.0,50,114.847281
,-50.0,50,116.514719
,-50.0,50,118.138972
,-50.0,50,119.755804
,-50.0,50,121.351617
,-50.0,50,122.980651
,-50.0,50,124.605914
,-50.0,50,126.219469
,-50.0,50,127.822914
,-50.0,50,129.438772
,-50.0,50,131.068982
,-50.0,50,132.675325
,-50.0,50,134.309581
,-50.0,50,135.928795
,-50.0,50,137.538836
,-50.0,50,139.159398
,-50.0,50,140.77984
,-50.0,50,142.414013
,-50.0,50,144.013004
,-50.0,50,145.644264
,-50.0,50,147.259347
,-50.0,50,148.870258
,-50.0,50,150.470168
,-50.0,50,152.086649
,-50.0,50,153.709238
,-50.0,50,155.356503
,-50.0,50,156.99977
,-50.0,50,158.616543
,-50.0,50,160.211975
,-50.0,50,161.85592
,-50.0,50,163.486027
,-50.0,50,165.098855
,-50.0,50,166.692841
,-50.0,50,168.300449
,-50.0,50,169.937063
,-50.0,50,171.560048
,-50.0,50,171.857674
,-50.0,50,172.156999
,-50.0,50,172.453271
,-50.0,50,172.74442
,-50.0,50,173.06619
,-50.0,50,173.337297
,-50.0,50,173.607917
,-50.0,50,173.893152
,-50.0,50,174.152508
,-50.0,50,174.480161
,-50.0,50,176.140313
,-50.0,50,177.753835
,-50.0,50,179.360339
,-50.0,50,180.991726
,-50.0,50,182.626045
,-50.0,50,184.229464
,-50.0,50,185.827998
,-50.0,50,187.458421
,-50.0,50,189.066449
,-50.0,50,190.691526
,-50.0,50,192.311909
,-50.0,50,193.947043
,-50.0,50,195.562977
,-50.0,50,197.204714
,-50.0,50,198.789147
,-50.0,50,200.424079
,-50.0,50,202.025187
,-50.0,50,203.687402
,-50.0,50,205.271267
,-50.0,50,206.90081
,-50.0,50,208.501504
,-50.0,50,210.09053
,-50.0,50,211.742887
,-50.0,50,213.331063
,-50.0,50,214.934286
,-50.0,50,216.622125
,-50.0,50,218.232029
,-50.0,50,219.845298
,-50.0,50,221.44752
,-50.0,50,223.10491
,-50.0,50,224.702417
,-50.0,50,226.317135
,-50.0,50,227.958788
,-50.0,50,229.587622
,-50.0,50,231.239148
,-50.0,50,232.880282
,-50.0,50,234.490914
