#{"t_start": 1581596979.1297965, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.99918
,-50.0,50,6.981153
,-50.0,50,8.692548
,-50.0,50,10.40504
,-50.0,50,12.138573
,-50.0,50,13.830883
,-50.0,50,15.528662
,-50.0,50,17.24642
,-50.0,50,18.971293
,-50.0,50,20.652572
,-50.0,50,22.418639
,-50.0,50,24.101584
,-50.0,50,25.819255
,0.0,50,27.559205
,-50.0,50,29.282007
,-50.0,50,30.978562
,-50.0,50,32.658547
,-50.0,50,34.372621
,-50.0,50,36.08601
,-50.0,50,37.786965
,0.0,50,39.490957
,-50.0,50,41.212717
,0.0,50,42.908719
,-50.0,50,44.649439
,-50.0,50,46.335789
,-50.0,50,48.037758
,-50.0,50,49.731646
,-50.0,50,51.478384
,-50.0,50,53.152235
,0.0,50,54.893524
,-50.0,50,56.596862
,-50.0,50,58.311538
,-50.0,50,60.00047
,-50.0,50,61.70763
,-50.0,50,63.40879
,-50.0,50,65.153557
,-50.0,50,66.859712
,-50.0,50,68.566055
,-50.0,50,70.291575
,0.0,50,71.984886
,-50.0,50,73.699595
,-50.0,50,75.402932
,-50.0,50,77.114722
,-50.0,50,78.825298
,-50.0,50,80.534885
,-50.0,50,82.222302
,-50.0,50,83.949182
,-50.0,50,85.660565
,-50.0,50,87.389405
,-50.0,50,89.069951
,-50.0,50,90.843808
,0.0,50,91.104652
,-50.0,50,91.371609
,-50.0,50,91.630605
,-50.0,50,91.887307
,-50.0,50,92.140645
,0.0,50,92.413431
,-50.0,50,92.671196
,0.0,50,92.972562
,-50.0,50,93.219569
,-50.0,50,93.73396
,-50.0,50,95.455754
,-50.0,50,97.15714
,-50.0,50,98.87518
,-50.0,50,100.603729
,-50.0,50,102.331439
,-50.0,50,104.032995
,-50.0,50,105.735451
,-50.0,50,107.491177
,-50.0,50,109.181962
,-50.0,50,110.89974
,-50.0,50,112.617762
,-50.0,50,114.327097
,-50.0,50,116.023382
,-50.0,50,117.744301
,-50.0,50,119.427064
,0.0,50,121.195591
,-50.0,50,122.873192
,-50.0,50,124.60427
,-50.0,50,126.295302
,-50.0,50,128.0048
,-50.0,50,129.736426
,0.0,50,131.429547
,-50.0,50,133.141386
,-50.0,50,134.847913
,-50.0,50,136.540345
,-50.0,50,138.286121
,-50.0,50,140.002028
,-50.0,50,141.701476
,-50.0,50,143.422649
,-50.0,50,145.173021
,-50.0,50,146.906818
,-50.0,50,148.620839
,0.0,50,150.364445
,-50.0,50,152.065575
,-50.0,50,153.78982
,-50.0,50,155.504023
,-50.0,50,157.236229
,-50.0,50,158.943289
,-50.0,50,160.674179
,-50.0,50,162.370193
,-50.0,50,164.065743
,-50.0,50,165.804545
,-50.0,50,167.530437
,-50.0,50,169.257871
,0.0,50,170.968879
,-50.0,50,172.671993
,0.0,50,174.386877
,-50.0,50,176.131002
,-50.0,50,177.815495
,-50.0,50,179.604473
,-50.0,50,179.900302
,-50.0,50,180.175855
,-50.0,50,180.47659
,-50.0,50,180.796281
,-50.0,50,181.064977
,-50.0,50,181.337665
,-50.0,50,181.612021
,-50.0,50,181.919957
,-50.0,50,182.153408
,-50.0,50,182.499887
,-50.0,50,184.20112
,-50.0,50,185.961107
,-50.0,50,187.655865
,-50.0,50,189.402211
,-50.0,50,191.112263
,-50.0,50,192.822107
,-50.0,50,194.53734
,-50.0,50,196.25039
,-50.0,50,197.999899
,-50.0,50,199.682138
,-50.0,50,201.377963
,-50.0,50,203.108359
,-50.0,50,204.814299
,-50.0,50,206.545439
,-50.0,50,208.266061
,-50.0,50,209.980075
,-50.0,50,211.67554
,-50.0,50,213.413661
,-50.0,50,215.123682
,-50.0,50,216.827329
,-50.0,50,218.54998
,-50.0,50,220.250593
,-50.0,50,221.923954
,-50.0,50,223.690433
,-50.0,50,225.359988
,-50.0,50,227.073025
,-50.0,50,228.793924
,-50.0,50,230.547727
,0.0,50,232.21455
,-50.0,50,233.946048
,-50.0,50,235.697177
,-50.0,50,237.361879
,-50.0,50,239.096252
,0.0,50,240.798038
,-50.0,50,242.521637
,-50.0,50,244.261441
,-50.0,50,245.987345
,-50.0,50,247.724699
,-50.0,50,249.429158
,-44.0,50,251.121855
,-50.0,50,252.861666
,0.0,50,254.57545
,-50.0,50,256.268009
,-50.0,50,257.980824
,-50.0,50,259.701318
,-50.0,50,261.43749
,-50.0,50,263.147518
,0.0,50,264.853075
,-50.0,50,266.57791
,-50.0,50,268.333813
,-50.0,50,268.588793
,-50.0,50,268.860335
,-50.0,50,269.121222
,-50.0,50,269.382847
,-50.0,50,269.648276
,-50.0,50,269.920582
,-50.0,50,270.195983
,-50.0,50,270.465793
,-50.0,50,270.724815
,-50.0,50,271.154042
,-43.0,50,272.889461
,-50.0,50,274.618162
,-50.0,50,276.341778
,-50.0,50,278.088204
,-50.0,50,279.785566
,-50.0,50,281.535775
,-50.0,50,283.230294
,-50.0,50,284.982823
,-50.0,50,286.706598
,-50.0,50,288.429963
,-50.0,50,290.141511
,-50.0,50,291.890274
,-50.0,50,293.587954
,-50.0,50,295.321837
,-50.0,50,297.048484
,-50.0,50,298.767324
,-50.0,50,300.470824
,-50.0,50,302.210114
,-50.0,50,303.93007
,-50.0,50,305.630941
,-50.0,50,307.366557
,-50.0,50,309.084614
,-50.0,50,310.816995
,-50.0,50,312.560728
,-50.0,50,314.255591
,-50.0,50,315.987791
,-50.0,50,317.666265
,-50.0,50,319.405228
,-50.0,50,321.15532
,-50.0,50,322.833593
,-50.0,50,324.587449
,-50.0,50,326.290606
,-50.0,50,328.023629
,-50.0,50,329.711672
,-50.0,50,331.436119
,-50.0,50,333.165052
,-50.0,50,334.890329
,-50.0,50,336.621434
,-50.0,50,338.340314
,-50.0,50,340.041514
,-50.0,50,341.747771
,-50.0,50,343.472919
,-50.0,50,345.211376
,-50.0,50,346.927347
,-50.0,50,348.638699
,-50.0,50,350.367767
,-50.0,50,352.112651
,-50.0,50,353.818842
,-50.0,50,355.538392
,-50.0,50,357.283349
,-50.0,50,357.548068
,-50.0,50,357.836682
,-50.0,50,358.100692
,-50.0,50,358.38384
,-50.0,50,358.656578
,-50.0,50,358.929634
,-50.0,50,359.19879
,-50.0,50,359.468822
,-50.0,50,359.739876
,-50.0,50,360.08158
,-50.0,50,361.831349
,-50.0,50,363.501961
,-50.0,50,365.244361
,-50.0,50,366.968353
,-50.0,50,368.68586
,-50.0,50,370.412509
,-50.0,50,372.138158
,-50.0,50,373.845163
,-50.0,50,375.554362
,-50.0,50,377.27429
,-50.0,50,378.992068
,0.0,50,380.720832
,-13.0,50,382.457943
,-50.0,50,384.152162
,-50.0,50,385.912497
,-50.0,50,387.655702
,-50.0,50,389.338349
,-50.0,50,391.073702
,-50.0,50,392.805645
,-50.0,50,394.555525
,-50.0,50,396.248496
,0.0,50,397.983959
,-50.0,50,399.693472
,-50.0,50,401.41342
,-50.0,50,403.159437
,-50.0,50,404.85633
,-50.0,50,406.600328
,-50.0,50,408.312064
,-50.0,50,410.003556
,-50.0,50,411.750977
,-50.0,50,413.464414
,-50.0,50,415.192486
,-50.0,50,416.957287
,-50.0,50,418.658955
,-50.0,50,420.356779
,-50.0,50,422.090338
,-50.0,50,423.823706
,-50.0,50,425.594385
,-50.0,50,427.286119
,-50.0,50,429.005713
,0.0,50,430.724468
,-50.0,50,432.451351
,-50.0,50,434.156886
,-50.0,50,435.887921
,-50.0,50,437.612866
,-50.0,50,439.351663
,-50.0,50,441.063136
,-50.0,50,442.791654
,-50.0,50,444.501968
,-50.0,50,446.231076
,0.0,50,446.530274
,-50.0,50,446.791211
,0.0,50,447.097495
,-50.0,50,447.356026
,-50.0,50,447.598077
,-50.0,50,447.859106
,0.0,50,448.16658
,-50.0,50,448.436026
,-50.0,50,448.702446
,-50.0,50,449.135198
,-50.0,50,450.834111
,0.0,50,452.54076
,-50.0,50,454.265601
,-50.0,50,455.953473
,0.0,50,457.721055
,-50.0,50,459.448427
,-50.0,50,461.152236
,-50.0,50,462.853776
,-50.0,50,464.589099
,-50.0,50,466.312729
,-50.0,50,468.026711
,-50.0,50,469.741896
,-50.0,50,471.474684
,-50.0,50,473.228451
,0.0,50,474.93689
,-50.0,50,476.668451
,-50.0,50,478.370928
,-50.0,50,480.150637
,-50.0,50,481.833055
,-50.0,50,483.568545
,-50.0,50,485.292156
,-50.0,50,487.052286
,-50.0,50,488.762836
,-50.0,50,490.508697
,-50.0,50,492.211788
,0.0,50,493.908362
,-50.0,50,495.650613
,-50.0,50,497.387451
,-50.0,50,499.137334
,-50.0,50,500.854649
,-50.0,50,502.55301
,-50.0,50,504.275325
,-50.0,50,506.029319
,-50.0,50,507.748562
,-50.0,50,509.466153
,0.0,50,511.185133
,-50.0,50,512.905397
,-50.0,50,514.629359
,-50.0,50,516.369681
,-50.0,50,518.096322
,-50.0,50,519.783594
,-49.0,50,521.507429
,-50.0,50,523.251786
,-50.0,50,524.974005
