#{"t_start": 1581778717.2114253, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.681898
,-50.0,50,7.631202
,-50.0,50,9.370781
,-50.0,50,11.068241
,-50.0,50,12.728644
,-50.0,50,14.454494
,-50.0,50,16.11102
,-50.0,50,17.835054
,-50.0,50,19.518842
,-50.0,50,21.18523
,-50.0,50,22.921362
,-50.0,50,24.595508
,-50.0,50,26.330777
,-50.0,50,28.025722
,-50.0,50,29.71153
,0.0,50,31.395194
,-50.0,50,33.102788
,-50.0,50,34.795926
,-50.0,50,36.492755
,-50.0,50,38.18574
,-50.0,50,39.87737
,-50.0,50,41.575119
,-50.0,50,43.288819
,-50.0,50,44.992847
,-50.0,50,46.677296
,-50.0,50,48.370325
,-50.0,50,50.064787
,-50.0,50,51.775019
,-50.0,50,53.454601
,-50.0,50,55.150437
,-50.0,50,56.875948
,0.0,50,58.58324
,-50.0,50,60.263803
,-50.0,50,61.968302
,-50.0,50,63.659761
,-50.0,50,65.350742
,-50.0,50,67.056076
,-50.0,50,68.748722
,-50.0,50,70.448262
,-50.0,50,72.157313
,-50.0,50,73.825324
,-50.0,50,75.559649
,-50.0,50,77.218878
,-50.0,50,78.920953
,-50.0,50,80.6734
,-50.0,50,82.371692
,-50.0,50,84.057824
,-50.0,50,85.744195
,-50.0,50,87.464025
,-50.0,50,89.14742
,-50.0,50,90.910461
,-50.0,50,91.181501
,-50.0,50,91.428679
,-50.0,50,91.704992
,-50.0,50,91.952321
,-50.0,50,92.216167
,-50.0,50,92.463991
,-50.0,50,92.713333
,-50.0,50,92.969748
,-50.0,50,93.219568
,-50.0,50,93.614655
,-50.0,50,95.321392
,-50.0,50,96.994722
,-50.0,50,98.747623
,-50.0,50,100.42674
,-50.0,50,102.145814
,-50.0,50,103.850907
,-50.0,50,105.519034
,-50.0,50,107.242565
,-50.0,50,108.929621
,-50.0,50,110.61723
,-50.0,50,112.303184
,-50.0,50,114.003801
,-50.0,50,115.705417
,-50.0,50,117.409036
,-50.0,50,119.081247
,-50.0,50,120.81263
,-50.0,50,122.466496
,-50.0,50,124.214656
,-50.0,50,125.89104
,-50.0,50,127.591876
,-50.0,50,129.333592
,-50.0,50,131.025756
,-50.0,50,132.702139
,-50.0,50,134.409757
,-50.0,50,136.094814
,-50.0,50,137.815212
,-50.0,50,139.505955
