stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
0.84550184,0.09413775,0.20372066,0.048606977,-48.125,10.0,-2.6901274,0.037500000558793545,-47.93,50.0,0.041249999310821295
0.8467524,0.09270346,0.20418404,0.045340132,-48.75,20.0,-4.7271833,0.02500000037252903,-48.125,100.0,0.03749999962747097
0.8469408,0.09314326,0.20420253,0.04609683,-45.625,30.0,-6.320249,0.08750000176951289,-48.559998,150.0,0.028749999357387424
0.84692603,0.093064256,0.2041593,0.046562336,-48.125,40.0,-8.4752445,0.037500000558793545,-48.238747,200.0,0.036249998258426785
0.84651977,0.09343898,0.20404924,0.048380785,-47.6125,50.0,-10.233064,0.05000000074505806,-47.32625,250.0,0.05375
0.8461458,0.09397966,0.20393781,0.050505415,-46.95625,60.0,-11.50878,0.06250000139698386,-48.045,300.0,0.0399999984074384
0.84580106,0.09405289,0.2037985,0.051929105,-46.3875,70.0,-12.66091,0.07500000158324838,-48.127502,350.0,0.03874999983236194
0.84597945,0.094498836,0.20396715,0.054061547,-47.36875,80.0,-14.585908,0.056250001303851604,-47.192497,400.0,0.060000000055879354
0.8459315,0.09601295,0.20391235,0.057295904,-48.2625,90.0,-15.885525,0.04375000111758709,-48.06875,450.0,0.04625
0.8458449,0.097219884,0.20393614,0.06071351,-45.58125,100.0,-16.05212,0.11250000400468707,-47.173748,500.0,0.067499995
0.84572047,0.09765681,0.20382437,0.06491665,-46.05625,110.0,-17.049088,0.10625000344589353,-46.972504,550.0,0.06875000335276127
0.84577775,0.09871753,0.20374715,0.07032499,-42.31875,120.0,-15.676016,0.20625000074505806,-45.93375,600.0,0.09625
0.8460098,0.099853955,0.2039141,0.075528406,-42.78125,130.0,-15.740992,0.193750006146729,-44.92625,650.0,0.135
0.8461643,0.099887185,0.20407751,0.079023845,-40.0625,140.0,-14.0719185,0.26249999552965164,-43.511253,700.0,0.19
0.846152,0.10007248,0.20421305,0.08131716,-39.118748,150.0,-15.311316,0.275,-42.747498,750.0,0.2175
0.846188,0.100148104,0.20414038,0.083159186,-39.04375,160.0,-15.759684,0.28125,-43.17375,800.0,0.20375
0.84621745,0.100094594,0.20429981,0.084553994,-39.431248,170.0,-17.1451,0.275,-41.63375,850.0,0.2525
0.84610146,0.10028731,0.20435782,0.086494714,-32.14375,180.0,-13.578394,0.45624998,-40.370003,900.0,0.2825
0.8460199,0.10078198,0.20439237,0.08842043,-31.8125,190.0,-13.934109,0.48749998,-39.98625,950.0,0.30374998
0.8459642,0.10091897,0.20450526,0.09006146,-32.006252,200.0,-14.041935,0.46249998,-38.372498,1000.0,0.35250002
0.84595305,0.10111072,0.20463829,0.09193122,-31.36875,210.0,-14.332911,0.47500002,-38.92375,1050.0,0.33749998
0.8459365,0.1011551,0.2046727,0.093406394,-32.6875,220.0,-15.576969,0.44375,-37.875,1100.0,0.36375
0.8459261,0.101061404,0.20476402,0.09493903,-29.70625,230.0,-14.278692,0.525,-37.6725,1150.0,0.36
0.84576696,0.101268925,0.2047824,0.096885785,-31.937502,240.0,-15.048918,0.46249998,-36.2675,1200.0,0.41625002
0.8456855,0.10116017,0.20484105,0.098121606,-28.556252,250.0,-13.71271,0.525,-36.105,1250.0,0.42875
0.84571344,0.10115669,0.20482,0.09929796,-28.699999,260.0,-13.886053,0.54375,-35.74125,1300.0,0.41000003
0.8456538,0.10128623,0.20491442,0.100349724,-25.375,270.0,-12.810663,0.625,-35.07,1350.0,0.435
0.8456364,0.10133258,0.20488386,0.101289965,-28.35625,280.0,-15.437824,0.54999995,-35.1225,1400.0,0.445
0.84556645,0.10143579,0.20484394,0.10201521,-25.556252,290.0,-13.245199,0.6125,-34.164997,1450.0,0.44875002
0.84557533,0.10146972,0.20485339,0.102870725,-24.0,300.0,-11.94788,0.65,-33.926247,1500.0,0.46875
0.8456516,0.10158149,0.20486832,0.103628784,-24.31875,310.0,-13.285353,0.65,-34.80375,1550.0,0.4225
0.84563833,0.10161378,0.20485069,0.104130544,-20.18125,320.0,-10.228937,0.73749995,-32.305,1600.0,0.5075
0.84564525,0.10153627,0.20492883,0.10459849,-21.05625,330.0,-11.283805,0.71875,-32.5925,1650.0,0.5125
0.8457164,0.10168847,0.20495775,0.104982235,-19.787498,340.0,-11.429581,0.7625,-30.973751,1700.0,0.54625
0.8457756,0.10171526,0.20500308,0.10522076,-19.1625,350.0,-10.542244,0.75625,-30.904999,1750.0,0.53875
0.8457373,0.10197696,0.20497154,0.10566286,-19.11875,360.0,-11.5924015,0.75,-30.85125,1800.0,0.5475
0.84578377,0.102126144,0.20501983,0.10583602,-17.668749,370.0,-10.30695,0.8,-31.39,1850.0,0.52125
0.8458173,0.10234674,0.20509025,0.106065586,-19.59375,380.0,-11.384731,0.75,-29.414999,1900.0,0.58500004
0.84588116,0.1024583,0.20510846,0.10620191,-18.65625,390.0,-10.2268715,0.74375,-30.467499,1950.0,0.54625
0.84600425,0.10261023,0.20510042,0.1061883,-17.73125,400.0,-8.848688,0.78125,-30.02125,2000.0,0.57375
0.84608835,0.10270532,0.20511752,0.106237076,-15.75,410.0,-7.519155,0.80625,-30.34,2050.0,0.55625
0.84609324,0.10292248,0.20513904,0.106387354,-15.837502,420.0,-8.188024,0.825,-29.56625,2100.0,0.56125003
0.8460856,0.1040838,0.20511761,0.106800586,-15.325001,430.0,-7.0230045,0.84375,-29.2125,2150.0,0.56875
0.84591657,0.105396174,0.20508747,0.107269995,-15.30625,440.0,-6.618476,0.8375,-29.16625,2200.0,0.5775
0.8458968,0.10587577,0.20509794,0.10755076,-18.3375,450.0,-8.342373,0.75,-29.189999,2250.0,0.60375
0.8459775,0.10588839,0.20511425,0.10770338,-18.325,460.0,-9.007496,0.75,-29.4525,2300.0,0.58
0.8461637,0.105975725,0.20513712,0.10782754,-16.7375,470.0,-7.009183,0.79375,-30.305,2350.0,0.53
0.8463232,0.10598887,0.2051714,0.107802294,-13.68125,480.0,-5.536888,0.88125,-29.603748,2400.0,0.555
0.8464773,0.106181644,0.20522042,0.10799619,-12.925,490.0,-4.708233,0.89375,-28.68,2450.0,0.58500004
0.84661263,0.1063799,0.20526299,0.108139485,-12.83125,500.0,-4.9994936,0.8875,-28.39,2500.0,0.5925
0.8467931,0.10661644,0.2053015,0.10830185,-15.35625,510.0,-7.102415,0.84375,-30.02125,2550.0,0.56625
0.8469761,0.10667165,0.20532511,0.10828229,-15.90625,520.0,-6.587435,0.82500005,-30.001251,2600.0,0.54999995
0.84707785,0.10665054,0.20535685,0.10824627,-13.4,530.0,-5.063261,0.88125,-29.51,2650.0,0.5725
0.8471303,0.1066308,0.20537102,0.10832898,-15.06875,540.0,-6.145443,0.825,-28.521252,2700.0,0.60625
0.84723324,0.10654735,0.20538916,0.10830679,-13.4,550.0,-4.5698147,0.88124996,-29.885,2750.0,0.57125
0.8473584,0.106566645,0.2054203,0.10838756,-13.525,560.0,-3.880308,0.8875,-30.3325,2800.0,0.56
0.84743696,0.106598556,0.20543772,0.10846435,-15.224999,570.0,-4.582265,0.85,-29.776249,2850.0,0.57
0.8475909,0.10655133,0.20547085,0.108438104,-12.6,580.0,-2.747374,0.8875,-29.375,2900.0,0.57500005
0.8477219,0.106664516,0.20549935,0.108561724,-13.31875,590.0,-2.7677538,0.86875,-30.55625,2950.0,0.5425
0.8478875,0.10662786,0.20552498,0.10860209,-13.299999,600.0,-2.1016092,0.88750005,-29.8625,3000.0,0.5375
0.8479988,0.106586695,0.20552343,0.108627275,-12.75625,610.0,-2.2186484,0.88125,-29.825,3050.0,0.58375
0.84810024,0.10658923,0.20555034,0.108654186,-14.04375,620.0,-2.3124027,0.85625,-29.53125,3100.0,0.57000005
0.8482066,0.10659301,0.20558935,0.10871063,-11.08125,630.0,-1.4511423,0.92499995,-30.148748,3150.0,0.5675
0.84832597,0.106580116,0.20563522,0.10873543,-12.3375,640.0,-1.725261,0.9,-29.98,3200.0,0.55375004
0.8484182,0.10660852,0.205642,0.108838364,-12.3,650.0,-1.663662,0.90625,-29.395,3250.0,0.56875
0.8485725,0.10655683,0.20564991,0.10886247,-12.86875,660.0,-1.852341,0.86875,-30.68875,3300.0,0.52875
0.8486757,0.10666502,0.20569289,0.10893286,-11.775,670.0,-1.6224489,0.93125,-31.04125,3350.0,0.52875
0.848768,0.10662515,0.20568861,0.10898194,-11.68125,680.0,-1.4825017,0.90625,-29.73125,3400.0,0.58625
0.8488414,0.106649466,0.2057192,0.109027274,-12.23125,690.0,-1.5146396,0.90625,-30.25,3450.0,0.53999996
0.84894824,0.10667158,0.20574537,0.10906945,-9.83125,700.0,-1.1260746,0.94374996,-29.903751,3500.0,0.53249997
0.84906703,0.10666243,0.20575388,0.10912707,-13.3125,710.0,-1.6237004,0.88125,-30.775,3550.0,0.53625
0.84923357,0.10672185,0.20577246,0.109193124,-12.9625,720.0,-1.4609311,0.88125,-30.677502,3600.0,0.54125
0.8493123,0.10670682,0.20579919,0.10921322,-11.9375,730.0,-1.357102,0.9125,-30.098751,3650.0,0.54375
0.84942216,0.10666547,0.20583022,0.109270275,-11.46875,740.0,-1.1623142,0.91875005,-29.95375,3700.0,0.5712501
0.849541,0.10665537,0.20586057,0.10929841,-13.35625,750.0,-1.3688092,0.84999996,-31.114998,3750.0,0.50874996
0.8496478,0.106631316,0.20588036,0.10933874,-12.86875,760.0,-1.1759208,0.875,-30.205,3800.0,0.54749995
0.849771,0.106609315,0.20592313,0.10940054,-13.51875,770.0,-1.4181497,0.8625,-30.95125,3850.0,0.5375
0.849837,0.10656724,0.20595783,0.10941198,-11.46875,780.0,-1.3202082,0.91249996,-30.62875,3900.0,0.54125
0.84990567,0.10651359,0.2059744,0.10938669,-12.3875,790.0,-1.2191896,0.89374995,-30.85625,3950.0,0.55
0.84999925,0.106546365,0.20597923,0.10938415,-10.131249,800.0,-0.98874503,0.94375,-30.873749,4000.0,0.53375
