#{"t_start": 1582799197.7345736, "env_id": "HandManipulateBlockFull-v0"}
s,r,l,t
,-100.0,100,6.861766
,-100.0,100,9.129041
,-100.0,100,11.279105
,-100.0,100,13.323081
,-100.0,100,15.436818
,-100.0,100,17.537567
,-100.0,100,19.581477
,-100.0,100,21.614851
,-100.0,100,23.80209
,-100.0,100,25.874084
,-100.0,100,28.012468
,-100.0,100,30.108382
,-100.0,100,32.127781
,-100.0,100,34.227276
,-100.0,100,36.345494
,-100.0,100,38.399163
,-100.0,100,40.464014
,-100.0,100,42.557455
,-100.0,100,44.607794
,-100.0,100,46.802948
,-100.0,100,48.886191
,-100.0,100,51.035202
,-100.0,100,53.127924
,-100.0,100,55.313689
,-100.0,100,57.270665
,-100.0,100,59.507469
,-100.0,100,61.580322
,-100.0,100,63.65957
,-100.0,100,65.778199
,-100.0,100,67.825491
,-100.0,100,69.937503
,-100.0,100,72.110081
,-100.0,100,74.121633
,-100.0,100,76.270626
,-100.0,100,78.367562
,-100.0,100,80.435046
,-100.0,100,82.570952
,-100.0,100,84.723678
,-100.0,100,86.851101
,-100.0,100,88.950823
,-100.0,100,91.00518
,-100.0,100,93.21384
,-100.0,100,95.334403
,-100.0,100,97.445893
,-100.0,100,99.540974
,-100.0,100,101.639374
,-100.0,100,103.77557
,-100.0,100,105.884813
,-100.0,100,107.890895
,-100.0,100,110.141409
,-100.0,100,112.314725
,-100.0,100,112.975404
,-100.0,100,113.625418
,-100.0,100,114.282811
,-100.0,100,115.029061
,-100.0,100,115.675162
,-100.0,100,116.369525
,-100.0,100,117.062538
,-100.0,100,117.718254
,-100.0,100,118.327497
,-100.0,100,118.92094
,-100.0,100,121.160371
,-100.0,100,123.24348
,-100.0,100,125.333827
,-100.0,100,127.461043
,-100.0,100,129.571274
,-100.0,100,131.64548
,-100.0,100,133.826542
,-100.0,100,135.991185
,-100.0,100,138.070641
,-100.0,100,140.179263
,-100.0,100,142.292278
,-100.0,100,144.437481
,-100.0,100,146.528074
,-100.0,100,148.650486
,-100.0,100,150.701553
,-100.0,100,152.831693
,-100.0,100,154.993627
,-100.0,100,157.11595
,-100.0,100,159.23685
,-100.0,100,161.403331
,-100.0,100,163.523102
,-100.0,100,165.547387
,-100.0,100,167.577538
,-100.0,100,169.696008
,-100.0,100,171.827994
,-100.0,100,173.977985
,-100.0,100,176.072776
,-100.0,100,178.166909
,-100.0,100,180.326948
,-100.0,100,182.472793
,-100.0,100,184.58569
,-100.0,100,186.683205
,-100.0,100,188.827124
,-100.0,100,190.967845
,-100.0,100,193.055446
,-100.0,100,195.109083
,-100.0,100,197.273024
,-100.0,100,199.359176
,-100.0,100,201.425179
,-100.0,100,203.638352
,-100.0,100,205.709774
,-100.0,100,207.835339
,-100.0,100,209.975932
,-100.0,100,212.145187
,-100.0,100,214.186513
,-100.0,100,216.285168
,-100.0,100,218.376068
,-100.0,100,220.465149
,-100.0,100,222.628211
,-100.0,100,224.747217
,-100.0,100,225.36062
,-100.0,100,226.001975
,-100.0,100,226.690377
,-100.0,100,227.322078
,-100.0,100,228.009058
,-100.0,100,228.622609
,-100.0,100,229.23021
,-100.0,100,229.884647
,-100.0,100,230.568541
,-100.0,100,231.505782
,-100.0,100,233.589499
,-100.0,100,235.662894
,-100.0,100,237.819639
,-100.0,100,239.834976
,-100.0,100,242.003107
,-100.0,100,244.115393
,-100.0,100,246.287766
,-100.0,100,248.372372
,-100.0,100,250.594539
,-100.0,100,252.685081
,-100.0,100,254.738369
,-100.0,100,256.915795
,-100.0,100,259.014726
,-100.0,100,261.208181
,-100.0,100,263.323757
,-100.0,100,265.424279
,-100.0,100,267.533261
,-100.0,100,269.623249
,-100.0,100,271.796523
,-100.0,100,273.852881
,-100.0,100,276.027042
,-100.0,100,278.011135
,-100.0,100,280.197214
,-100.0,100,282.300601
,-100.0,100,284.40824
,-100.0,100,286.483342
,-100.0,100,288.668432
,-100.0,100,290.838585
,-100.0,100,292.859666
,-100.0,100,295.025312
,-100.0,100,297.143028
,-100.0,100,299.240058
