#{"t_start": 1581763985.6084657, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,6.342309
,-50.0,50,8.295045
,-50.0,50,10.002965
,-50.0,50,11.73431
,-50.0,50,13.434054
,-50.0,50,15.157014
,-50.0,50,16.888613
,-50.0,50,18.593801
,-50.0,50,20.312785
,-50.0,50,21.990162
,-50.0,50,23.766227
,-50.0,50,25.439011
,-50.0,50,27.193326
,-50.0,50,28.867452
,-50.0,50,30.604962
,-50.0,50,32.297455
,-50.0,50,34.016425
,-50.0,50,35.754696
,-50.0,50,37.478453
,-50.0,50,39.181686
,-50.0,50,40.932696
,-50.0,50,42.661054
,-50.0,50,44.384055
,-50.0,50,46.107438
,-50.0,50,47.811078
,-50.0,50,49.537255
,-50.0,50,51.277179
,-50.0,50,52.986375
,-50.0,50,54.716875
,-50.0,50,56.432887
,-50.0,50,58.129431
,-50.0,50,59.861572
,-50.0,50,61.57666
,-50.0,50,63.333079
,-50.0,50,65.038292
,-50.0,50,66.751255
,-50.0,50,68.450509
,-50.0,50,70.209281
,-50.0,50,71.909936
,-50.0,50,73.644523
,-50.0,50,75.326129
,-50.0,50,77.054781
,-50.0,50,78.796801
,-50.0,50,80.49556
,-50.0,50,82.244876
,-50.0,50,83.950989
,-50.0,50,85.708913
,-50.0,50,87.392918
,-50.0,50,89.12255
,-50.0,50,90.824733
,-50.0,50,92.580974
,-50.0,50,92.863648
,-50.0,50,93.131814
,-50.0,50,93.416167
,-50.0,50,93.681555
,-50.0,50,93.951918
,-50.0,50,94.246167
,-50.0,50,94.538969
,-50.0,50,94.83621
,-50.0,50,95.119681
,-50.0,50,95.559791
,-50.0,50,97.29422
,-50.0,50,99.005053
,-50.0,50,100.742434
,-50.0,50,102.448658
,-50.0,50,104.184028
,-50.0,50,105.916619
,-50.0,50,107.655243
,-50.0,50,109.381775
,-50.0,50,111.052747
,-50.0,50,112.783486
,-50.0,50,114.522923
,-50.0,50,116.239194
,-50.0,50,117.961692
,-50.0,50,119.669228
,-50.0,50,121.369071
,-50.0,50,123.112236
,-50.0,50,124.836264
,-50.0,50,126.53659
,-50.0,50,128.259232
,-50.0,50,129.971745
,-50.0,50,131.727067
,-50.0,50,133.447779
,-50.0,50,135.234979
,-50.0,50,136.923909
,-50.0,50,138.65527
,-50.0,50,140.399813
,-41.0,50,142.084603
,-50.0,50,143.836809
,-50.0,50,145.554269
,-50.0,50,147.248707
,-50.0,50,148.986006
,-50.0,50,150.718426
,-50.0,50,152.440442
,-50.0,50,154.134998
,-50.0,50,155.876474
,-50.0,50,157.633954
,-50.0,50,159.337292
,-50.0,50,161.089656
,-48.0,50,162.774715
,-50.0,50,164.512749
,-50.0,50,166.24016
,-50.0,50,167.986029
,-50.0,50,169.702195
,-50.0,50,171.409404
,-50.0,50,173.121891
,-50.0,50,174.863117
,-50.0,50,176.598566
,-50.0,50,178.312953
,-50.0,50,180.043676
,-50.0,50,181.739468
,-50.0,50,182.015582
,-50.0,50,182.31034
,-50.0,50,182.600755
,-50.0,50,182.879075
,-50.0,50,183.161949
,-50.0,50,183.437675
,-50.0,50,183.706004
,-50.0,50,183.989589
,-50.0,50,184.259856
,-50.0,50,184.627938
,-50.0,50,186.374346
,-50.0,50,188.083749
,-50.0,50,189.802127
,-50.0,50,191.51656
,-50.0,50,193.251736
,-50.0,50,194.976894
,-50.0,50,196.721952
,-50.0,50,198.439511
,-50.0,50,200.15787
,-50.0,50,201.868903
,-50.0,50,203.568554
,-50.0,50,205.318334
,-50.0,50,207.054846
,-50.0,50,208.736042
,-50.0,50,210.462914
,-50.0,50,212.177595
,-50.0,50,213.894331
,-50.0,50,215.623389
,-50.0,50,217.377162
,-50.0,50,219.087141
,-50.0,50,220.794333
,-50.0,50,222.534936
,-50.0,50,224.27012
,-50.0,50,225.963551
,-50.0,50,227.69222
,-50.0,50,229.405726
,-50.0,50,231.16098
,-50.0,50,232.872875
,-50.0,50,234.568551
,-50.0,50,236.275766
,-50.0,50,238.038739
,-50.0,50,239.739082
,-50.0,50,241.485843
,-50.0,50,243.187721
,-50.0,50,244.906431
,-50.0,50,246.626987
,-50.0,50,248.367501
,-50.0,50,250.108006
,-50.0,50,251.845515
,-50.0,50,253.557555
,-50.0,50,255.272907
,-50.0,50,256.998861
,-50.0,50,258.735112
,-50.0,50,260.45876
,-50.0,50,262.175624
,-50.0,50,263.900083
,-50.0,50,265.620901
