stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
0.7436549,0.11728714,0.16543901,0.061436243,-49.6875,10.0,-3.2104206,0.0062500000931322575,-50.0,50.0,0.0
0.74486357,0.12351695,0.16543241,0.062281094,-49.6875,20.0,-5.220141,0.0062500000931322575,-49.9375,100.0,0.0012499999720603228
0.7454607,0.1259676,0.16575144,0.06358888,-49.89375,30.0,-7.1889143,0.0,-49.81875,150.0,0.0024999999441206455
0.74701214,0.13145003,0.16596963,0.06515902,-49.775,40.0,-9.085071,0.0,-49.688747,200.0,0.004999999888241291
0.74758786,0.13820025,0.16658072,0.069252186,-49.3375,50.0,-10.786272,0.012500000186264515,-49.2025,250.0,0.009999999776482582
0.7495873,0.14506271,0.1675466,0.07266697,-49.33125,60.0,-12.124788,0.0,-49.56875,300.0,0.0037499999161809683
0.75137514,0.1529491,0.16837895,0.07711588,-47.90625,70.0,-13.015229,0.05000000074505806,-48.89875,350.0,0.022499999264255166
0.7535412,0.15857871,0.16922325,0.08116224,-46.387497,80.0,-13.260765,0.056250001303851604,-48.4,400.0,0.023749999469146132
0.7561829,0.16306801,0.16999483,0.08368175,-46.45625,90.0,-14.133308,0.03125000046566129,-47.9,450.0,0.03374999901279807
0.7602377,0.16652754,0.17085253,0.085880004,-44.2375,100.0,-13.374719,0.13125000335276127,-47.58875,500.0,0.04249999858438969
0.7640128,0.1690964,0.17157482,0.087631285,-44.05,110.0,-13.069651,0.13125000149011612,-46.885002,550.0,0.06874999916180968
0.7677503,0.17042808,0.17234387,0.089184135,-43.38125,120.0,-13.627815,0.1187500013038516,-46.333748,600.0,0.08
0.7717361,0.17193763,0.17312542,0.09038963,-40.7375,130.0,-12.515351,0.2187500074505806,-46.5675,650.0,0.07499999995343387
0.7746808,0.17240322,0.17395614,0.09070384,-40.8625,140.0,-12.933347,0.2562499977648258,-45.68125,700.0,0.09999999939464033
0.7774467,0.17349355,0.1746159,0.09164517,-38.2,150.0,-11.935856,0.32500002,-45.8425,750.0,0.10249999864026904
0.7803721,0.17437851,0.17528963,0.09245675,-40.46875,160.0,-13.192818,0.17500000027939677,-45.375,800.0,0.12375
0.7836693,0.17513794,0.17599513,0.09286909,-36.95625,170.0,-10.850023,0.41250002,-44.93875,850.0,0.125
0.7870109,0.1747971,0.17677942,0.09310439,-36.7875,180.0,-11.172064,0.4000000078231096,-44.69875,900.0,0.14500001
0.7897896,0.17474872,0.17739588,0.093558855,-41.25625,190.0,-14.378393,0.22499999962747097,-44.841248,950.0,0.13375
0.79225993,0.1744773,0.17793165,0.09384581,-35.575,200.0,-9.8869,0.3374999971129,-44.3375,1000.0,0.13874999
0.7943401,0.1743022,0.17839396,0.094027855,-35.899998,210.0,-10.548862,0.44375,-45.05,1050.0,0.125
0.7960389,0.17380352,0.17883119,0.094311476,-36.18125,220.0,-11.276178,0.36875,-44.658752,1100.0,0.15
0.79763985,0.17332186,0.17926013,0.09446823,-36.49375,230.0,-11.521953,0.3625,-44.195,1150.0,0.12875
0.7995417,0.17290144,0.17971236,0.09460636,-36.887497,240.0,-11.468035,0.35000002,-44.69625,1200.0,0.13374999
0.80098337,0.17270975,0.18008177,0.09466951,-35.625,250.0,-11.958239,0.3375,-44.45625,1250.0,0.15875
0.80257064,0.17237425,0.1805223,0.09477054,-33.34375,260.0,-10.474833,0.41875,-44.730003,1300.0,0.14375
0.8039081,0.17238945,0.18088871,0.09489276,-34.95,270.0,-11.160677,0.47500002,-44.42125,1350.0,0.15
0.8050905,0.17232813,0.18123676,0.09498103,-33.56875,280.0,-11.927261,0.48125,-44.53625,1400.0,0.1525
0.806215,0.17215498,0.18159658,0.0951633,-36.36875,290.0,-12.873781,0.43125004,-44.57875,1450.0,0.16375
0.8073035,0.17195024,0.18187223,0.095254295,-35.581253,300.0,-13.359825,0.43125,-44.28625,1500.0,0.1625
0.80830914,0.17184107,0.1821735,0.095389016,-34.51875,310.0,-11.95124,0.51875,-44.485,1550.0,0.1625
0.8093274,0.17156708,0.18247198,0.095378496,-34.043747,320.0,-11.96951,0.5375,-44.26,1600.0,0.1625
0.81025356,0.17118955,0.18271111,0.09531007,-33.681248,330.0,-12.437036,0.4875,-44.1175,1650.0,0.18125
0.8110358,0.17102511,0.18294531,0.09530322,-33.14375,340.0,-11.562247,0.54375,-44.213753,1700.0,0.1525
0.81181973,0.1708566,0.18315138,0.0952955,-35.20625,350.0,-12.297089,0.5625,-44.631252,1750.0,0.15875
0.8125785,0.17092486,0.18333031,0.09540169,-32.5625,360.0,-11.857587,0.55625004,-44.7425,1800.0,0.15375
0.81318265,0.17069662,0.18351416,0.09536365,-31.96875,370.0,-11.589464,0.55625004,-44.50375,1850.0,0.16375
0.81383747,0.17050092,0.18370967,0.095289566,-32.643753,380.0,-11.287016,0.65625,-43.589996,1900.0,0.175
0.8144188,0.17026107,0.1839082,0.09528882,-32.19375,390.0,-11.886925,0.55625004,-44.5225,1950.0,0.165
0.8148089,0.17014588,0.18405685,0.09528904,-29.05625,400.0,-10.318264,0.6625,-44.175003,2000.0,0.17625
0.8151829,0.17011835,0.18418083,0.09537278,-30.48125,410.0,-10.222018,0.66875005,-43.78875,2050.0,0.1825
0.81558126,0.17007504,0.18435487,0.095474645,-31.93125,420.0,-11.596031,0.575,-44.21875,2100.0,0.16624999
0.81603765,0.16991651,0.18448627,0.09545745,-28.16875,430.0,-8.828667,0.74375,-44.1725,2150.0,0.1825
0.81645554,0.1696716,0.18461938,0.09543147,-31.8125,440.0,-11.352819,0.55625004,-44.505,2200.0,0.1525
0.8168226,0.16956322,0.18476221,0.095482975,-33.175,450.0,-12.286354,0.61875004,-43.81,2250.0,0.19500001
0.81726176,0.16953318,0.18487236,0.09546113,-31.231249,460.0,-10.711231,0.65,-44.3125,2300.0,0.17750001
0.817698,0.16949679,0.18499939,0.09556736,-30.94375,470.0,-11.139448,0.60625,-44.745,2350.0,0.155
0.81808406,0.16928661,0.18511188,0.09564339,-31.78125,480.0,-11.438157,0.55625,-43.53125,2400.0,0.20375
0.81837463,0.16932034,0.18518957,0.09585242,-32.4875,490.0,-10.865173,0.6375,-44.16625,2450.0,0.16875002
0.81879705,0.16913195,0.18530546,0.09578054,-30.21875,500.0,-10.178608,0.64374995,-43.9075,2500.0,0.175
0.81921643,0.16910978,0.18541908,0.09589553,-34.45,510.0,-12.80723,0.56875,-44.885002,2550.0,0.16875
0.8195052,0.16893095,0.18550119,0.095970795,-34.9125,520.0,-12.359051,0.50625,-44.660004,2600.0,0.13999999
0.81976706,0.16891468,0.18558,0.09614877,-32.168747,530.0,-11.735315,0.61875,-44.571247,2650.0,0.15625
0.82009095,0.16875893,0.18564376,0.096389964,-30.98125,540.0,-10.731291,0.6125,-45.11625,2700.0,0.14625001
0.8203457,0.16866802,0.18570112,0.09656365,-32.20625,550.0,-11.934865,0.58125,-44.835,2750.0,0.155
0.8205754,0.1685887,0.18571177,0.096811436,-33.55,560.0,-11.811107,0.54375,-44.8925,2800.0,0.1375
0.82082367,0.1686282,0.18575186,0.09699318,-33.71875,570.0,-13.233816,0.50625,-45.4975,2850.0,0.1375
